Безразмерные перемещения точек упругого стержня под действием удара твердого тела для разных сечений
t	1	0.8	0.5	0.1
0.0	0.0	0.0	0.0	0.0
0.02	-0.019801326693244747	0.0	0.0	0.0
0.04	-0.03921056084767682	0.0	0.0	0.0
0.06	-0.05823546641575128	0.0	0.0	0.0
0.08	-0.07688365361336424	0.0	0.0	0.0
0.1	-0.09516258196404048	0.0	0.0	0.0
0.12	-0.11307956328284252	0.0	0.0	0.0
0.14	-0.13064176460119414	0.0	0.0	0.0
0.16	-0.14785621103378865	0.0	0.0	0.0
0.18	-0.164729788588728	0.0	0.0	0.0
0.2	-0.18126924692201818	-0.0	0.0	0.0
0.22	-0.1974812020375215	-0.019801326693244747	0.0	0.0
0.24	-0.21337213893344653	-0.03921056084767682	0.0	0.0
0.26	-0.22894841419643375	-0.05823546641575139	0.0	0.0
0.28	-0.24421625854427453	-0.07688365361336424	0.0	0.0
0.3	-0.2591817793182821	-0.09516258196404048	0.0	0.0
0.32	-0.27385096292630906	-0.11307956328284252	0.0	0.0
0.34	-0.28822967723739035	-0.13064176460119425	0.0	0.0
0.36	-0.302323673928969	-0.14785621103378865	0.0	0.0
0.38	-0.31613859078764417	-0.164729788588728	0.0	0.0
0.4	-0.3296799539643607	-0.18126924692201818	0.0	0.0
0.42	-0.34295318018494325	-0.1974812020375215	0.0	0.0
0.44	-0.3559635789168586	-0.21337213893344664	0.0	0.0
0.46	-0.36871635449307405	-0.22894841419643375	0.0	0.0
0.48	-0.38121660819385916	-0.24421625854427453	0.0	0.0
0.5	-0.3934693402873666	-0.2591817793182821	0.0	0.0
0.52	-0.4054794520298056	-0.27385096292630917	-0.019801326693244747	0.0
0.54	-0.41725174762601036	-0.28822967723739035	-0.03921056084767682	0.0
0.56	-0.42879093615118513	-0.302323673928969	-0.05823546641575139	0.0
0.58	-0.44010163343459796	-0.31613859078764417	-0.07688365361336413	0.0
0.6	-0.4511883639059735	-0.3296799539643607	-0.09516258196404037	0.0
0.62	-0.4620555624053255	-0.34295318018494325	-0.11307956328284252	0.0
0.64	-0.47270757595695145	-0.3559635789168587	-0.13064176460119414	0.0
0.66	-0.4831486655083008	-0.36871635449307405	-0.14785621103378865	0.0
0.68	-0.49338300763441045	-0.38121660819385916	-0.164729788588728	0.0
0.7000000000000001	-0.5034146962085906	-0.3934693402873667	-0.18126924692201818	0.0
0.72	-0.5132477440400283	-0.4054794520298056	-0.1974812020375215	0.0
0.74	-0.5228860844789656	-0.41725174762601036	-0.21337213893344653	0.0
0.76	-0.5323335729900908	-0.42879093615118513	-0.22894841419643375	0.0
0.78	-0.5415939886947765	-0.44010163343459796	-0.24421625854427453	0.0
0.8	-0.5506710358827784	-0.4511883639059736	-0.2591817793182821	0.0
0.8200000000000001	-0.5595683454940008	-0.4620555624053255	-0.27385096292630917	0.0
0.84	-0.5682894765709203	-0.47270757595695145	-0.28822967723739024	0.0
0.86	-0.5768379176822511	-0.4831486655083008	-0.302323673928969	0.0
0.88	-0.5852170883184187	-0.49338300763441045	-0.31613859078764417	0.0
0.9	-0.5934303402594009	-0.5034146962085906	-0.3296799539643607	0.0
0.92	-0.6014809589154859	-0.5132477440400284	-0.34295318018494325	-0.019801326693244747
0.9400000000000001	-0.6093721646414789	-0.5228860844789657	-0.3559635789168587	-0.03921056084767682
0.96	-0.6171071140248879	-0.5323335729900908	-0.36871635449307405	-0.05823546641575128
0.98	-0.6246889011486004	-0.5415939886947765	-0.38121660819385916	-0.07688365361336413
1.0	-0.6321205588285577	-0.5506710358827784	-0.3934693402873666	-0.09516258196404037
1.02	-0.6394050598269216	-0.5595683454940008	-0.4054794520298056	-0.11307956328284252
1.04	-0.6465453180412198	-0.5682894765709203	-0.41725174762601036	-0.13064176460119414
1.06	-0.6535441896699425	-0.5768379176822512	-0.42879093615118513	-0.14785621103378865
1.08	-0.6604044743550609	-0.5852170883184187	-0.44010163343459796	-0.164729788588728
1.1	-0.6671289163019205	-0.593430340259401	-0.4511883639059736	-0.18126924692201818
1.12	-0.6737202053769605	-0.6014809589154859	-0.4620555624053255	-0.17767987534427687
1.1400000000000001	-0.6801809781836962	-0.6093721646414789	-0.47270757595695145	-0.17416157808576982
1.16	-0.6865138191173947	-0.6171071140248879	-0.4831486655083007	-0.17071294778068247
1.18	-0.6927212613988687	-0.6246889011486004	-0.49338300763441034	-0.1673326049309104
1.2	-0.6988057880877978	-0.6321205588285577	-0.5034146962085905	-0.16401919735424186
1.22	-0.7047698330759857	-0.6394050598269216	-0.5132477440400283	-0.16077139964346665
1.24	-0.7106157820609493	-0.6465453180412198	-0.5228860844789656	-0.1575879126361961
1.26	-0.7163459735002295	-0.6535441896699425	-0.5323335729900908	-0.15446746289518043
1.28	-0.7219626995468058	-0.6604044743550609	-0.5415939886947765	-0.15140880219891628
1.3	-0.7274682069659875	-0.6671289163019205	-0.5506710358827784	-0.1484107070423426
1.32	-0.7328646980341497	-0.6737202053769605	-0.5595683454940008	-0.14547197814742174
1.34	-0.738154331419674	-0.6801809781836962	-0.5682894765709203	-0.14259143998341217
1.36	-0.7433392230464442	-0.6865138191173947	-0.5768379176822512	-0.1397679402966403
1.3800000000000001	-0.7484214469402435	-0.6927212613988688	-0.5852170883184187	-0.13700034964958463
1.4000000000000001	-0.7534030360583935	-0.698805788087798	-0.593430340259401	-0.13428756096908456
1.42	-0.7582859831029636	-0.7047698330759857	-0.6014809589154858	-0.13162848910349667
1.44	-0.7630722413178782	-0.7106157820609493	-0.6093721646414789	-0.12902207038862
